date,hour,village_ward,meter_id,household_id,liters_consumed
2024-06-01,0,Ward_A,MTR_A01,HH_A01,0.88
2024-06-01,0,Ward_A,MTR_A02,HH_A02,0.89
2024-06-01,0,Ward_A,MTR_A03,HH_A03,1.31
2024-06-01,0,Ward_A,MTR_A04,HH_A04,1.0
2024-06-01,0,Ward_A,MTR_A05,HH_A05,1.12
2024-06-01,0,Ward_A,MTR_A06,HH_A06,0.88
2024-06-01,0,Ward_A,MTR_A07,HH_A07,0.88
2024-06-01,0,Ward_A,MTR_A08,HH_A08,1.16
2024-06-01,0,Ward_A,MTR_A09,HH_A09,0.8
2024-06-01,0,Ward_A,MTR_A10,HH_A10,0.94
2024-06-01,0,Ward_A,MTR_A11,HH_A11,1.01
2024-06-01,0,Ward_A,MTR_A12,HH_A12,1.02
2024-06-01,0,Ward_A,MTR_A13,HH_A13,0.97
2024-06-01,0,Ward_A,MTR_A14,HH_A14,1.06
2024-06-01,0,Ward_A,MTR_A15,HH_A15,1.1
2024-06-01,0,Ward_A,MTR_A16,HH_A16,1.11
2024-06-01,0,Ward_A,MTR_A17,HH_A17,0.85
2024-06-01,0,Ward_A,MTR_A18,HH_A18,0.96
2024-06-01,0,Ward_A,MTR_A19,HH_A19,1.18
2024-06-01,0,Ward_A,MTR_A20,HH_A20,1.13
2024-06-01,0,Ward_B,MTR_B01,HH_B01,0.79
2024-06-01,0,Ward_B,MTR_B02,HH_B02,1.05
2024-06-01,0,Ward_B,MTR_B03,HH_B03,0.7
2024-06-01,0,Ward_B,MTR_B04,HH_B04,1.01
2024-06-01,0,Ward_B,MTR_B05,HH_B05,1.28
2024-06-01,0,Ward_B,MTR_B06,HH_B06,0.86
2024-06-01,0,Ward_B,MTR_B07,HH_B07,0.87
2024-06-01,0,Ward_B,MTR_B08,HH_B08,1.11
2024-06-01,0,Ward_B,MTR_B09,HH_B09,0.77
2024-06-01,0,Ward_B,MTR_B10,HH_B10,0.91
2024-06-01,0,Ward_B,MTR_B11,HH_B11,1.09
2024-06-01,0,Ward_B,MTR_B12,HH_B12,0.9
2024-06-01,0,Ward_B,MTR_B13,HH_B13,0.96
2024-06-01,0,Ward_B,MTR_B14,HH_B14,1.11
2024-06-01,0,Ward_B,MTR_B15,HH_B15,1.06
2024-06-01,0,Ward_B,MTR_B16,HH_B16,1.04
2024-06-01,0,Ward_B,MTR_B17,HH_B17,0.95
2024-06-01,0,Ward_B,MTR_B18,HH_B18,1.06
2024-06-01,0,Ward_B,MTR_B19,HH_B19,0.98
2024-06-01,0,Ward_B,MTR_B20,HH_B20,1.07
2024-06-01,0,Ward_C,MTR_C01,HH_C01,0.93
2024-06-01,0,Ward_C,MTR_C02,HH_C02,0.97
2024-06-01,0,Ward_C,MTR_C03,HH_C03,0.85
2024-06-01,0,Ward_C,MTR_C04,HH_C04,0.99
2024-06-01,0,Ward_C,MTR_C05,HH_C05,0.88
2024-06-01,0,Ward_C,MTR_C06,HH_C06,0.83
2024-06-01,0,Ward_C,MTR_C07,HH_C07,1.04
2024-06-01,0,Ward_C,MTR_C08,HH_C08,1.03
2024-06-01,0,Ward_C,MTR_C09,HH_C09,1.12
2024-06-01,0,Ward_C,MTR_C10,HH_C10,0.94
2024-06-01,0,Ward_C,MTR_C11,HH_C11,1.06
2024-06-01,0,Ward_C,MTR_C12,HH_C12,1.08
2024-06-01,0,Ward_C,MTR_C13,HH_C13,1.07
2024-06-01,0,Ward_C,MTR_C14,HH_C14,0.88
2024-06-01,0,Ward_C,MTR_C15,HH_C15,1.02
2024-06-01,0,Ward_C,MTR_C16,HH_C16,1.05
2024-06-01,0,Ward_C,MTR_C17,HH_C17,1.0
2024-06-01,0,Ward_C,MTR_C18,HH_C18,0.69
2024-06-01,0,Ward_C,MTR_C19,HH_C19,1.02
2024-06-01,0,Ward_C,MTR_C20,HH_C20,1.33
2024-06-01,0,Ward_D,MTR_D01,HH_D01,0.95
2024-06-01,0,Ward_D,MTR_D02,HH_D02,0.89
2024-06-01,0,Ward_D,MTR_D03,HH_D03,1.06
2024-06-01,0,Ward_D,MTR_D04,HH_D04,1.05
2024-06-01,0,Ward_D,MTR_D05,HH_D05,1.18
2024-06-01,0,Ward_D,MTR_D06,HH_D06,0.81
2024-06-01,0,Ward_D,MTR_D07,HH_D07,1.11
2024-06-01,0,Ward_D,MTR_D08,HH_D08,1.09
2024-06-01,0,Ward_D,MTR_D09,HH_D09,0.98
2024-06-01,0,Ward_D,MTR_D10,HH_D10,1.05
2024-06-01,0,Ward_D,MTR_D11,HH_D11,1.15
2024-06-01,0,Ward_D,MTR_D12,HH_D12,1.13
2024-06-01,0,Ward_D,MTR_D13,HH_D13,0.83
2024-06-01,0,Ward_D,MTR_D14,HH_D14,1.12
2024-06-01,0,Ward_D,MTR_D15,HH_D15,0.99
2024-06-01,0,Ward_D,MTR_D16,HH_D16,1.01
2024-06-01,0,Ward_D,MTR_D17,HH_D17,1.01
2024-06-01,0,Ward_D,MTR_D18,HH_D18,0.98
2024-06-01,0,Ward_D,MTR_D19,HH_D19,1.18
